GEOID20,DIST
281210204024024,0
281210209021009,4
281210201011022,4
281210201011060,4
281210202192006,2
281210201051090,4
281210209021017,4
281210208012002,4
281210210052024,0
281210209012028,4
281210209021034,4
281210201032012,2
281210201013014,4
281210208032004,4
281210208041015,3
281210202094008,1
281210202094015,1
281210208052003,2
281210210034045,0
281210204021039,3
281210204025005,3
281210208041004,3
281210201051096,4
281210201051089,4
281210210043006,0
281210202193021,2
281210202161000,3
281210202121019,1
281210204023000,0
281210202171024,3
281210203041023,3
281210201013018,4
281210202152020,3
281210202086017,2
281210209023039,4
281210202181000,2
281210210051008,4
281210210014002,0
281210210011004,0
281210210032005,0
281210202183016,2
281210208044005,4
281210208031032,4
281210202082010,2
281210201011067,4
281210201011038,4
281210201051030,4
281210208032035,4
281210201051073,4
281210202193002,2
281210201041000,4
281210201011072,4
281210209023061,4
281210208041011,3
281210210042004,0
281210208031004,4
281210203041009,3
281210209011074,4
281210210042005,0
281210203041064,3
281210202084010,2
281210210034042,0
281210209011014,4
281210203041005,3
281210201031023,2
281210210052060,0
281210202121046,3
281210202142004,1
281210210031008,0
281210202083002,2
